titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
L'économie française 2014;;Ouvrage;OBSERVATOIRE FRANCAIS DES CONJONCTURES ECONOMIQUES;Paris;La découverte;2013;978-2-7071-7699-8;;Français;127 p.;Repères;N°624;4111 OFC;ECONOMIE FRANCAISE/BILAN/EMPLOI/CHOMAGE/ZONE EURO/POLITIQUE INDUSTRIELLE/ECONOMIE;;;;2014-07-24
La coopération décentralisée;L'action internationale entre collectivités territoriales;Ouvrage;MARE Cyril/;Paris;Groupe Studyrama;2012;978-2-7590-1725-6;;Français;172 p.;;;833 MAR;ADMINISTRATION/COOPERATION/INTERNATIONAL/COOPERATION DECENTRALISEE/ADMINISTRATION DECENTRALISEE/ADMINISTRATION REGIONALE/ADMINISTRATION TERRITORIALE/DECENTRALISATION/RELATIONS/RELATIONS INTERNATIONALES/ETAT/UNION EUROPEENNE/COOPERATION TRANSFRONTALIERE/COOPERATION INTERNATIONALE/EAU/ASSAINISSEMENT/ENERGIE/ACTION EXTERIEURE/COOPERATION REGIONALE/AIDE AU DEVELOPPEMENT;;;;2013-07-30
Animer et promouvoir son site web;les outils du community manager;Ouvrage;DELENGAIGNE Xavier;Paris;CFPJ Editions;2012;978-2-35307-024-4;;Français;157 p.;;;7253 DEL;INFORMATION/DIFFUSION DE L'INFORMATION/ACCES A L'INFORMATION/COMMUNICATION/SITE WEB/WEB/RESEAUX/WEB 2.0/RESEAUX SOCIAUX/NUMERIQUE/COMMUNICATION NUMERIQUE/TWITTER/BLOG;;;;2013-07-24
Maths et français aux concours C;Cours et exercices;Ouvrage;LECLERE Jean-Pierre/MARTY Jean-Philippe;Paris;La Documentation française;2016;978-2-11-010218-8;;Français;284 p.;FORMATION ADMINISTRATION CONCOURS;;25 LEC;ADMINISTRATION/CONCOURS/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE C/MATHEMATIQUES/FRANCAIS/COURS/EXERCICES;;;;2016-07-12
Fiscalité et personnes publiques;;Ouvrage;ALBERT JEAN-LUC;Paris;LGDJ,Lextenso éditions;2012;978-2-275-03608-3;;Français;184 p.;SYSTEMES;;273 ALB;BUDGET/FINANCES PUBLIQUES/PERSONNE PUBLIQUE/DROIT FISCAL/CONTRIBUABLE/DROIT COMMUN//IMPOT;;;;2013-06-20
L'autonomie des jeunes;Questions politiques et sociologiques sur les mondes étudiants;Ouvrage;CICCHELI Vincenzo/;Paris;La Documentation française;2013;978-2-11-009210-6;;Français;215 p.;;;;SOCIETE/SOCIOLOGIE/JEUNE/ETUDIANT/JEUNESSE/AUTONOMIE;;;;2013-10-06
Vingt idées reçues sur les métiers, l'emploi et le travail;;Ouvrage;FREMEAUX Philippe;Paris;Alternatives Economiques;2012;978-2-36383-051-7;;Français;153 p.;LES PETITS MATINS;;141 FRE;TRAVAIL/EMPLOI/METIER/METIER DE DEMAIN/EMPLOI QUALIFIE/CARRIERE/CARRIERE PROFESSIONNELLE/DIPLOME/EMPLOYEUR/JEUNE/ENTREPRISE/INDUSTRIE/DELOCALISATION/ECONOMIE VERTE/SERVICE A LA PERSONNE/PRECARITE/CHOMAGE/TRAVAIL FEMININ/VIE ACTIVE/MONDIALISATION/PENIBILITE;;;;2013-04-04
Développement durable;La transition en marche !;Dossier;Collectif;Arras;LE MONDE;2013;;;Français;P.1-10;LE MONDE DOSSIERS & DOCUMENTS;N°429;327 COL;ENVIRONNEMENT/ECOLOGIE/ENERGIE/DEVELOPPEMENT DURABLE/GRENELLE DE L'ENVIRONNEMENT/ECONOMIE VERTE/ELECTRICITE/GAZ/EFFET DE SERRE/ALIMENTATION/EAU/EAU DOUCE/CLIMAT/COPENHAGUE/CONFERENCE DE COPENHAGUE/CONCOURS ADMINISTRATIF;;;avr-13;2013-04-04
Une brève histoire des crises financières;Des tulipes aux subprimes;Ouvrage;CHAVAGNEUX Christian;Paris;La découverte;2011;978-2-7071-6969-3;;Français;235 p.;;;42 CHA;ECONOMIE/FINANCES/CRISE/CRISE DE LA FINANCE /CRISE ECONOMIQUE/CRISE FINANCIERE/CRISE BANCAIRE/REGULATION/REGULATION ECONOMIQUE/REGULATION MONETAIRE/BANQUE;;;;2013-03-26
Trente ans de décentralisation financière : bilan et perspectives;;Dossier;Collectif;Paris;LGDJ,Lextenso éditions;2012;978-2-275-03829-2;;Français;334 P.;REVUE FRANCAISE DE FINANCES PUBLIQUES;N°119;272 COL;BUDGET/FINANCES/FINANCES PUBLIQUES/DECENTRALISATION/FISCALITE LOCALE/COMPTABILITE PUBLIQUE/DEPENSE PUBLIQUE;;;;2018-12-17
Histoire politique et économique des médias;;Ouvrage;CHUPIN Ivan/HUBE Nicolas/KACIAF Nicolas;Paris;La découverte;2012;978-2-7071-7371-3;;Français;126 p.;REPERES;N°537;70 CHU;INFORMATION/COMMUNICATION/HISTOIRE/HISTOIRE POLITIQUE/HISTOIRE ECONOMIQUE/MEDIAS/FRANCE;;;;2012-02-10
Trajectoire de la France à la suite du Grenelle Environnement : indicateurs de résultats;Rapport pour la conférence environnementale des 14 et 15 septembre 2012;Ouvrage format pdf;WAHL Thierry;;;2012;;;;78 p.;;;431 WAH;ENVIRONNEMENT /GRENELLE DE L'ENVIRONNEMENT/INDICATEUR/INDICATEUR DE DEVELOPPEMENT DURABLE/INDUSTRIE DU BATIMENT/GAZ/ENERGIE/TRANSPORT/CLIMAT/BIODIVERSITE/AGRICULTURE/SANTE /RISQUES INDUSTRIELS/RISQUES/RISQUES INDUSTRIELS/ELIMINATION DES DECHETS/DECHET MENAGER/CONSOMMATION D'ENERGIE;;;;2012-09-17
Les performances des territoires;Les politiques locales, remèdes au déclin industriel;Ouvrage;;Paris;Le Manuscrit;2011;978-2-30403798-2;;Français;449 p.;Magna Carta;;3114 CAR;AMENAGEMENT DU TERRITOIRE/POLITIQUE LOCALE/TERRITOIRE/METROPOLE/DECLIN INDUSTRIEL/DELOCALISATION/ECONOMIE/POLITIQUE ECONOMIQUE/GOUVERNANCE/GOUVERNANCE DES TERRITOIRES/INDICATEUR DE PERFORMANCE/PERFORMANCE/METROPOLE EUROPEENNE/FIRME MULTINATIONALE/PME/INNOVATION/QUEBEC/POLE DE COMPETITIVITE/CLUSTER/ALLEMAGNE/POLITIQUE INDUSTRIELLE/JAPON/CRISE INDUSTRIELLE;;;;2012-09-13
Le panorama de presse;Aspects juridiques;Ouvrage;Michèle Battisti;PARIS;ADBS Editions;2006;;;;64 p;L'Essentiel sur ...;;71 BAT;PRESSE/PANORAMA/DROIT D'AUTEUR/DROIT DE REPROGRAPHIE/DROIT DE REPRODUCTION/PRESSE ELECTRONIQUE;;;;2007-12-21
Les handicapés dans la fonction publique;;Ouvrage;RICHEBOURG Muriel/BALLAND Jacques;MONTREUIL;Editions du papyrus;2007;;;;335 p;;;144 RIC;HANDICAPES/FONCTION PUBLIQUE/EMPLOI/INSERTION/ALLOCATION/HANDICAP/IPP/CDAPH/CNCPH/PDITH/RECLASSEMENT;;;;2007-10-12
Panorama art et jeunesse;;Ouvrage;INJEP/CENTRE POMPIDOU;Marly-le-Roi;Institut national de la jeunesse et de l'éducation populaire;2007;;;Français;236 p;;;61 INJ;CULTURE/ART/JEUNE/LOISIRS/MUSIQUE/AUDIOVISUEL/EQUIPEMENT AUDIOVISUEL;;n° 87;;2007-11-19
Place publique 06;Réel ou en trompe-l'oeil : le pouvoir des maires;Dossier;Collectif;Nantes;Association Mémoire et débats;2007;;;Français;p.6-45;PLACE PUBLIQUE;;2421 COL;MAIRE/ELU LOCAL/POUVOIR LOCAL;;6;Novembre-décembre 2007;2009-03-08
Déploiement des TIC dans les territoires (le);Le rôle des collectivités;Ouvrage;BOUQUILLION Philippe/PAILLIART Isabelle;Monts;PUG;2006;;;Français;;La communication en plus;;337 BOU;COLLECTIVITES TERRITORIALES/ETAT/TIC/NOUVELLES TECHNOLOGIES D'INFORMATION ET DE COMMUNICATION/AMENAGEMENT DU TERRITOIRE/OPERATEUR DE RESEAUX DE TELECOMMUNICATIONS;;;;2007-12-20
Qu'avons-nous fait de nos 20 ans;;CD;Gazette des Communes (la);Paris;Gazette des Communes (la);2003;;;Français;;;;;DECENTRALISATION/DEPARTEMENT/REGION;;;;2007-06-18
Asie: Chine, Corée du Sud, Inde, Japon, Sri Lanka, thailande;;Revue;BOISSEAU DU ROCHER Sophie/GODEMENT FRANCOIS;;;2005;;;Français;187 p.;;;;ASIE/CHINE/COREE DU SUD/INDE/JAPON/SRI LANKA/THAILANDE/ECONOMIE/INTERNATIONAL;;n°5223-24;2005;2007-12-06
Place publique 03;L'estuaire de la loire, un territoire à inventer.;Revue;Collectif;;;2007;;;Français;158 p.;PLACE PUBLIQUE;;611 COL;ESTUAIRE/LOIRE (LA)/PAYS DE LA LOIRE/Nantes/SAINT NAZAIRE/PATRIMOINE/POLITIQUE DE LA VILLE/VILLE/MUSIQUE BAROQUE/AMENAGEMENT URBAIN;;3;mai-juin 2007;2007-08-11
Ressources des collectivités locales;Mémento-guide financier 2006-2007;Ouvrage;JOLY Patrice (dir);Paris;Editions locales de France;2006;;;;528 p.;;;272 JOL;FINANCES LOCALES/FISCALITE LOCALE/DOTATION/FONDS DE PEREQUATION/CONTRAT DE PLAN/CONTRAT DE PAYS/CONTRAT DE PROJET/AIDE EUROPEENNE/EMPRUNT/COMMUNE/DEPARTEMENT/REGION/TRANSFERT DE COMPETENCES/TRANSFERT DE RESSOURCES;;;;2018-03-12
Collectivités territoriales et l'éducation (Les);Elus locaux, établissements d'enseignement et territoires;Ouvrage;GOUSSEAU JEAN-LOUIS/MALVY MARTIN(préface)/MALVY MARTIN;Paris;MONITEUR GROUPE;2006;;;;332 p.;Action Locale;;51 GOU;COLLECTIVITES TERRITORIALES///////EDUCATION/ELU LOCAL/ENSEIGNEMENT PUBLIC/ECOLE/COMMUNE/EPLE/ENSEIGNEMENT SUPERIEUR/ENSEIGNEMENT PRIVE/TRANSPORT SCOLAIRE/RESTAURATION SCOLAIRE/ACTION EDUCATIVE/POLITIQUE DE L'EDUCATION/ACTION SOCIALE/AIDE/ELEVE;;;;2007-04-25
Microsoft Windows Xp;;Ouvrage;BOTT Ed;;DUNOD/Microsoft Press;2003;;;;358 p.;Booster;;;WINDOWS XP/LOGICIEL;;;;2006-08-25
L'ETAT DE L'OPINION FRANCAISE 2005;;Ouvrage;DUHAMEL Olivier/TEINTURIER Brice;Paris;SEUIL (Editions du)/TNS SOFRES;2005;;;;316 p.;;;761 DUH;INSTITUT DE SONDAGE/SONDAGE D'OPINION/OPINION PUBLIQUE;;;;2006-03-08
Les métiers territoriaux;Communes - Départements - Régions;Ouvrage;ROGNARD Michel-Antoine/DOUEDAR Karim;Paris;Moniteur (le);2004;;;;140 p.;Les guides ressources humaines de la Gazette;Les carrières territoriales;252 ROG-1;METIERS TERRITORIAUX;;;;2010-03-05
Politique française de l'énergie (la);;Ouvrage;MAILLARD Dominique/LAVERGNE Richad/FONTAINE Nicole/PERCEBOIS Jacques/LIEBARD Alain/ORPHELIN Matthieu/MARSAUD Alain/MARITON Hervé/RETAILLEAU Bruno;Paris;Documentation Française (la);2005;;;;112 p.;Regards sur l'actualité;;431 MAI;ENERGIE/ENERGIE DE REMPLACEMENT/ENERGIE EOLIENNE/ENERGIE GEOTHERMIQUE/ENERGIE HYDROELECTRIQUE/ENERGIE NON RENOUVELABLE/ENERGIE NOUVELLE/ENERGIE NUCLEAIRE/ENERGIE PHOTOVOLTAIQUE/ENERGIE RENOUVELABLE/ENERGIE SOLAIRE/ENERGIE THERMIQUE/ENERGIE THERMODYNAMIQUE/PETROLE/GAZ/GAZ NATUREL/ECONOMIE DE L'ENERGIE;;;;2006-04-21
Organisez vos idées;Avec le mind mapping;OUVRAGE;DELADRIERE JEAN-LUC/LE BIHAN FREDERIC/MONGIN PIERRE/REBAUD DENIS;Paris;Dunod;2004;;;Français;158 p.;;;1414 DEL;METHODE DE TRAVAIL/METHODOLOGIE/MIND MAPPING;;;;2011-03-01
Les drogues;Approche sociologique, économique et politique;REVUE;JAUFFRET-ROUSTINE MARIE/Directeur;Paris;Documentation Française (la);2004;;;;156;;;143 JAU;DROGUE/PROBLEMES SOCIAUX/TRAFIC DE DROGUE/TOXICOMANIE/COCAINE/CONSOMMATION/HEROINE/MARIJUANA/TRAFIC/LUTTE/PREVENTION/USAGER/PEINE/MARCHE/INFRACTION/BLANCHIMENT/POLITIQUE PUBLIQUE;;;;2005-10-06
Groupements d'interet public;Guide methodologique;OUVRAGE;MINISTERE DE L'ECONOMIE DES FINANCES ET DE L'INDUSTRIE/DIRECTION DE LA COMPTABILITE PUBLIQUE;Paris;Direction de la comptabilité publique;2003;;;;191;;;26213 MIN;ETABLISSEMENT PUBLIC/LEGISLATION/REGLEMENTATION/COMPTABILITE PUBLIQUE/GESTION BUDGETAIRE/GESTION FINANCIERE/ORGANISATION/FONCTIONNEMENT DES ORGANISATIONS/GROUPEMENT D'INTERET PUBLIC/GIP;;;;2005-10-06
L'approche métier dans le respect d'une fonction publique de carrière;;COMPTE-RENDU;MINISTERE DE LA FONCTION PUBLIQUE ET DE LA REFORME DE L'ETAT;Paris;DGAFP/DIRE;2003;;;;60 p.;;;25 MIN;FONCTION PUBLIQUE/GESTION DES RESSOURCES HUMAINES/CONCOURS DE RECRUTEMENT/STATUT DE LA FONCTION PUBLIQUE/FONCTION/PROFESSION/COMPETENCE/NOMENCLATURE/FORMATION CONTINUE/GESTION PREVISIONNELLE DES EMPLOIS ET DES COMPETENCES/GPEC/REFERENTIEL D'EMPLOIS ET DE COMPETENCES/VALIDATION DES ACQUIS DE L'EXPERIENCE;;;;2006-03-01
Les enseignements de la canicule de l'ete 2003 dans les pays de la Loire;;RAPPORT;METAYER CLAIRE/Rapporteur/CESR/CONSEIL ECONOMIQUE ET SOCIAL DES PAYS DE LA LOIRE;Nantes;Région des Pays de la Loire;2004;;;;101;Rapport du Conseil Economique et Social Régional des Pays de la Loire;"Groupe de travail ""Canicule"", 17 juin 2004.";145 MET;REGION PAYS DE LA LOIRE/PROBLEMES SOCIAUX/SOCIETE/QUESTIONS SOCIALES/SANTE/SANTE PUBLIQUE/CLIMAT/MILIEU NATUREL/ENVIRONNEMENT/CADRE DE VIE/CLIMATOLOGIE/SCIENCES DE LA TERRE/SCIENCES NATURELLES/SCIENCES/EAU/RESSOURCES NATURELLES/MATIERE PREMIERE/RESSOURCES/AGRICULTURE/PECHE MARITIME/PECHE/INDUSTRIE/COMMERCE/MARCHE/ECONOMIE GENERALE/CONSOMMATION/SITUATION ECONOMIQUE/TOURISME/SERVICES/CULTURE/CANICULE;;;;2007-06-06
Fleuves en images;;COMPTE-RENDU;CONSERVATOIRE REGIONAL DES RIVES DE LA LOIRE ET DE SES AFFLUENTS;Nantes;Conservatoire Régional des Rives de la Loire et de ses Affluents;2001;;;;81;Les Cahiers du Conservatoire;6.;3214 CON;FLEUVE/GEOGRAPHIE PHYSIQUE/GEOGRAPHIE/MILIEU NATUREL/SCIENCES HUMAINES/ENVIRONNEMENT/SCIENCES/CADRE DE VIE/IMAGE/CARTOGRAPHIE/CARTE/ICONOGRAPHIE/QUEBEC/ETHNOLOGIE/CHANSON/MUSIQUE/ART/CULTURE/LOIRE (LA);;;;2005-10-06
Décentralisation et recomposition des territoires;1982 - 2002;REVUE;BOEUF JEAN-LUC/PROBLEMES POLITIQUES ET SOCIAUX;Paris;Documentation Française (la);2002;;;;84;;;311 BOE;DECENTRALISATION/AMENAGEMENT DU TERRITOIRE/HISTORIQUE/PROSPECTIVE/POLITIQUE DE L'AMENAGEMENT DU TERRITOIRE;;870;15-févr-02;2005-10-06
Anjou;;OUVRAGE;CHERIZEY THERESA (DE);Tournai;Renaissance du Livre (la);2000;;;;333;Le Guide;;6212 PAT;REGION PAYS DE LA LOIRE/MAINE ET LOIRE/ANGERS/TOURISME/CULTURE/PATRIMOINE HISTORIQUE/PATRIMOINE NATUREL/PATRIMOINE CULTUREL/PERSONNALITE/PATRIMOINE ARCHITECTURAL/ANJOU/SAUMUR/LOIRE (LA);;;;2005-10-06
La France et l'aménagement de son territoire (1945 - 2015);;OUVRAGE;DEYON PIERRE/FREMONT ARMAND;Paris;LGDJ/EJA;2000;;;;189;Décentralisation et Développement Local;;31 DEY;AMENAGEMENT DU TERRITOIRE/POLITIQUE DE L'AMENAGEMENT DU TERRITOIRE/HISTORIQUE/PROSPECTIVE/DATAR/GRANDS TRAVAUX/REGIONALISATION/CONTRAT DE PLAN/EUROPE/VILLE/ZONE RURALE/METROPOLE/METROPOLE REGIONALE/URBANISATION/ORGANISATION ADMINISTRATIVE/COLLECTIVITE LOCALE/REGION/DEPARTEMENT/COMMUNE/GEOGRAPHIE/REGION ILE DE FRANCE/PARIS/LOI PASQUA/LOI 95-115 DU 4 FEVRIER 1995/LOI VOYNET/SDEC/SCHEMA DE DEVELOPPEMENT DE L'ESPACE COMMUNAUTAIRE/RESEAU DE VILLES/TERRITOIRE/PAYS/BASSIN PARISIEN/BASSIN METROPOLITAIN/FACADE LITTORALE/GUICHARD OLIVIER;;;;2005-10-06
Le développement local;;OUVRAGE;LONGHI CHRISTIAN/SPINDLER JACQUES;Paris;LGDJ;2000;;;;119;Politiques Locales;;412 LON;DEVELOPPEMENT LOCAL/AMENAGEMENT DU TERRITOIRE/THEORIE ECONOMIQUE/DEVELOPPEMENT REGIONAL/PAYS DE GALLES/TECHNOPOLE/EXPERIENCE/COMPARAISON INTERNATIONALE/POLITIQUE LOCALE/TERRITOIRE/TERRITOIRE DE PROJET/MONDIALISATION/METROPOLISATION/INTEGRATION/CLUSTER/DISTRICT INDUSTRIEL/EMILIE-ROMAGNE/BADE WURTENBERG/CHOLET/PAYS DU CHOLETAIS/POLE ECONOMIQUE/TURIN/SILICON VALLEY/ZIRST/ZONE POUR L'INNOVATION ET LES REALISATIONS SCIENTIFIQUES ET TECHNIQUES/SOPHIA ANTIPOLIS/CAMBRIDGE/ZIRST DE MEYLAN;;;;2005-10-06
"Risk assessment for humans cléaning the oil spillage and cléaning the birds on the coast of brittany (France) following the wreckage of the maltese oil tanker ""Erika"" in december 1999";;RAPPORT;INSTITUT SANTE-ENVIRONNEMENT DES PAYS BAS/RIVM;;;2000;;;;49;;;3212 INS;POLLUTION DE LA MER/RISQUE/RISQUE TECHNOLOGIQUE/SECURITE/SANTE/SANTE PUBLIQUE/PETROLE/HYDROCARBURE/SECURITE SANITAIRE/OISEAU/ERIKA;;;;2015-05-29
Chine : le piège des inégalités;;REVUE;FABRE GUILHEM/PROBLEMES POLITIQUES ET SOCIAUX;Paris;Documentation Française (la);2000;;;;84;;;83 GER;CHINE/SITUATION ECONOMIQUE/SITUATION SOCIALE/MAOISME/COLLECTIVISME/PRIVATISATION/GESTION PUBLIQUE/PROGRAMME ECONOMIQUE/VIE POLITIQUE/SITUATION ECONOMIQUE INTERNATIONALE;;834;11-févr-00;2005-10-06
L'incroyable septennat;Jacques chirac à l'Elysée 1995 - 2002;OUVRAGE;ALLAIRE MARIE-BENEDICTE/GOULLIAUD PHILIPPE;Paris;Fayard;2002;2-213-61323-0;;;746 P.;;;2221 ALL;PRESIDENT DE LA REPUBLIQUE/HISTORIQUE/VIE POLITIQUE/ELECTION/ELECTION PRESIDENTIELLE/PREMIER MINISTRE/GOUVERNEMENT/COHABITATION/CHIRAC JACQUES/JUPPE ALAIN;;;;2014-06-18
L'école en crise;;Dossier;Collectif;Paris;La Documentation française;2012;;0008-0217;Français;p.1-82;CAHIERS FRANCAIS;N°368;511 COL;ENSEIGNEMENT/EDUCATION/ECOLE/SYSTEME EDUCATIF/LYCEE/UNIVERSITE/ENSEIGNEMENT PROFESSIONNEL/PISA/MASTER/GOUVERNANCE/INDICATEUR/INEGALITE SCOLAIRE/CARTE SCOLAIRE/COLLEGE/COLLEGE UNIQUE/ENSEIGNEMENT SUPERIEUR/TIC;;368;;2018-12-20
La dématérialisation des échanges avec le représentant de l'Etat et le comptable public;;Ouvrage;DURIF Fabrice;Voiron;Territorial Editions;2012;978-2-8186-0224-9;;Français;112 p.;DOSSIER D'EXPERTS;;7252 DUR;INFORMATION/GESTION DE L'INFORMATION/DOCUMENT/E-ADMINISTRATION/ADMINISTRATION ELECTRONIQUE/ADELE/DEMATERIALISATION/SIGNATURE ELECTRONIQUE/INFORMATIQUE/FICHIER INFORMATIQUE;;;;2013-07-01
Le guide vert Michelin Pays de la Loire;Loire-Atlantique, Maine-et-Loire, Mayenne, Sarthe, Vendée;Ouvrage;Collectif;Clermont-Ferrand;Michelin;2011;978-2-06-71760-5;;Français;507 p.;;;621 COL;TOURISME/PAYS DE LA LOIRE/LOIRE ATLANTIQUE/MAINE ET LOIRE/MAYENNE/SARTHE/VENDEE/GUIDE TOURISTIQUE;;;;2012-04-26
Il ya 30 ans, l'Acte I de la décentralisation ou l'histoire d'une révolution tranquille;;Ouvrage;GIUILY Eric;Paris;Berger-Levrault;2012;978-2-7013-1784-7;;Français;238 p.;;;241 GIU;INSTITUTIONS/COLLECTIVITES TERRITORIALES/DECENTRALISATION/1982/LOI DU 2 MARS 1982/ORGANISATION TERRITORIALE/DEFFERRE GASTON/REPARTITION DES COMPETENCES/TRANSFERTS DE COMPETENCES/FONCTION PUBLIQUE TERRITORIALE;;;;2012-04-04
Peut-on faire encore confiance aux économistes ?;;Revue;;Paris;La Documentation française;2011;;0032-9304;Français;64 p.;PROBLEMES ECONOMIQUES;N°3030;41 COL;ECONOMIE/ECONOMISTE/PENSEE ECONOMIQUE/ANALYSE ECONOMIQUE/SCIENCE ECONOMIQUE/PLURALISME/INFORMATION ECONOMIQUE/PRESSE ECONOMIQUE/INFORMATION STATISTIQUE;;;;2011-11-18
La RAEP dans les concours;Reconnaissance des acquis de l'expérience professionnelle;Ouvrage;FERRANDIS Yolande;Paris;La Documentation française;2010;978-2-11-008283-1;;Français;127 p.;FORMATION ADMINISTRATION CONCOURS;;25 FER;RESSOURCES HUMAINES/FONCTION PUBLIQUE/VAE/VALIDATION DES ACQUIS PROFESSIONNELS/VALIDATION DES ACQUIS DE L'EXPERIENCE/RAEP;;;;2018-06-12
Economie sociale;La solidarité au défi de l'efficacité;Revue;JEANTET Thierry;Paris;La Documentation française;2011;;1763-6191;Français;198 p.;ETUDES;N°5297-98;14 JEA;SOCIETE/SOCIAL/QUESTIONS SOCIALES/POLITIQUE SOCIALE/PROTECTION SOCIALE/PROTECTION SANITAIRE/ECONOMIE SOCIALE/COOPERATIVE/MUTUELLE/FONDATION/ASSOCIATION;;;;2011-07-10
Vers l'université numérique;Une réflexion conduite par la Caisse des dépôts et la conférence des présidents d'université;Ouvrage;;Paris;La Documentation française;2010;;;Français;126 p.;Les cahiers pratiques du développement numérique des territoires;N°8;513 CON;ENSEIGNEMENT SUPERIEUR/TIC/NUMERIQUE/NTIC/RECHERCHE/RECHERCHE DOCUMENTAIRE/ETUDIANT/UNIVERSITE/SYSTEME D'INFORMATION/ENT;;;;2011-12-07
Management des compétences;Enjeux, modèles et perspectives;Ouvrage;DIETRICH Anne/GILBERT Patrick/PIGEYRE Frédérique;Paris;Dunod;2010;978-2-10-053820-1;;Français;250 p.;;;1414 DIE;RESSOURCES HUMAINES/MANAGEMENT/GESTION DES COMPETENCES/GESTION DES COMPETENCES;;;;2011-07-10
Economie des politiques publiques;;Ouvrage;;Paris;La découverte;2017;978-2-7071-9458-9;;Français;127 p.;REPERES;N° 554;21 BOZ;POLITIQUE/POLITIQUE PUBLIQUE/ECONOMIE/MARCHES PUBLICS/DEPENSE/DEPENSE PUBLIQUE/ETAT PROVIDENCE/IMPOT/EVALUATION/EVALUATION DES POLITIQUES PUBLIQUES/ECONOMIE PUBLIQUE/ACTION PUBLIQUE/INTERVENTION PUBLIQUE;;;;2017-08-11
La communication dans la gestion de projet;;Ouvrage;FERNANDES Sophie/ENGLENDER Olivier;Paris;Vuibert;2010;9-782711-787494;;Français;231 p.;Lire Agir;;75 ENG;COMMUNICATION/GESTION DE PROJETS/CHEF DE PROJET/METHODOLOGIE/MOYENS DE COMMUNICATION/PLAN DE COMMUNICATION/REUNION;;;;2011-07-10
Bilan géostratégie 2010 - Le Monde -Hors série;Les nouveaux rapports de forces planétaires;Revue;;Paris;LE MONDE;2010;;;Français;186 p.;;Hors-série;11 COL;GEOPOLITIQUE/AL-QAIDA/CHINE/CONFLIT ARME/FORCE ARMEE;;;mars-10;2011-07-10
Evaluation juridique des premiers schémas de cohérence territoriale;;Ouvrage;COCQUIERE Alexandra/EDDAZI FouadHELIN Jean-Claude;Paris;GRIDAUH;2009;978-2-9113457-18-8;;Français;255 P.;LES CAHIERS DU GRIDAUH;N°19;3122 COC;AMENAGEMENT DU TERRITOIRE/URBANISME/SCOT/LOI 2000-1208 DU 13 DECEMBRE 2000 DITE LOI SRU/PLANIFICATION URBAINE;;;;2010-09-23
Les nouveaux territoires de l'intelligence économique;;Ouvrage;Collectif;Paris;"IFIE;ACFCI";2008;9-782916-265049;;Français;173 p.;;;73 DUV;ECONOMIE/TERRITOIRE/INTELLIGENCE ECONOMIQUE/ENTREPRISE/GESTION DE L'INFORMATION;;;;2010-01-04
Les lycées : état des lieux;;Dossier;Collectif;Paris;La Documentation française;2009;;;Français;p.8-83;REGARDS SUR L'ACTUALITE;353;512 COL;SYSTEME EDUCATIF/LYCEE/REFORME/REFORME DE L'ENSEIGNEMENT/PROFESSEUR;;;;2009-11-24
Culture et politique du droit administratif;;Ouvrage;CASSESE Sabino;Paris;DALLOZ;2008;;;Français;192 p.;Rivages du droit;;22 CAS;DROIT ADMINISTRATIF/INSTITUTION ADMINISTRATIVE/IDEOLOGIE/ITALIE;;;;2009-09-24
L'année économique et sociale 2008 dans les Pays de la Loire;;Dossier;INSEE PAYS DE LA LOIRE;Nantes;Insee Pays de la Loire;2009;;;Français;42 p.;Dossier Insee Pays de la loire;;4112 INS;PAYS DE LA LOIRE/CONJONCTURE ECONOMIQUE/CONJONCTURE REGIONALE/SOCIAL;;;;2009-11-05
L'élite des politiques de l'Etat;;Ouvrage;GENIEYS William;Paris;Sciences po, les presses;2008;;;Français;274 p.;;;23 GEN;ETAT/POLITIQUE/POUVOIR/POUVOIR POLITIQUE/POLITIQUE PUBLIQUE/HAUTS-FONCTIONNAIRES;;;;2017-06-20
Rapport public Conseil d'Etat 2008;Le contrat, mode d'action publique et de production de normes;Rapport;Collectif;Paris;Documentation Française (la);2008;;;Français;397 p.;;;22411 CON;CONSEIL D'ETAT/CONTRAT/NORME;;;;2009-01-29
Peut-on faire l'économie du bonheur ?;;Dossier;Collectif;Paris;Alternatives Economiques;2016;978-2-352-40162-9;;;112 p.;ECONOMIE POLITIQUE;N°71;14 COL;ECONOMIE/BONHEUR/ECONOMIE DU BONHEUR/ETUDE ECONOMIQUE/TRAVAIL/QUALITE DE LA VIE/RICHESSE/DROIT DU TRAVAIL/BIEN-ETRE/ADAM SMITH/REVENU/JEREMY BENTHAM/THEORIE ECONOMIQUE/INEGALITE DE REVENU/INEGALITE DE RICHESSE/RELATION SOCIALE/ENTREPRISE/MARX/TAYLOR/EMPLOI/PENSEE ECONOMIQUE;;N°71;Trimestriel 2016;2016-06-09
L'accompagnement des agents en situation de handicap au cours de leur vie professionnelle;;Ouvrage;Collectif;Lyon;Chronique sociale;2015;978-2-367-17147-0;;;150 p.;;;25 COL;ADMINISTRATION/TRAVAIL/FONCTION PUBLIQUE /HANDICAP/FIPHFP/POSTE DE TRAVAIL/AMENAGEMENT DE POSTE;;;;2016-06-24
